"unitPrice","retailPrice","term","skuId","armSkuName","productName","skuName"
"0.0987354","0.0987354","1 Year","DZH318Z0BQ51/00K6","Standard_F2","Virtual Machines F Series","F2"
"0.652188","0.652188","3 Years","DZH318Z08NR0/002N","Standard_DC8s_v3","DCsv3 Series Linux","standard_DC8s_v3"
"0.814292","0.814292","1 Year","DZH318Z08NR0/002N","Standard_DC8s_v3","DCsv3 Series Linux","standard_DC8s_v3"
"0.1024512","0.1024512","3 Years","DZH318Z0BQ35/00MK","Standard_B4ms","Virtual Machines BS Series","B4ms"
"0.1486848","0.1486848","1 Year","DZH318Z0BQ35/00MK","Standard_B4ms","Virtual Machines BS Series","B4ms"
"2.3026176","2.3026176","3 Years","DZH318Z0D1L7/00WH","Standard_E64_v4","Virtual Machines Ev4 Series","E64 v4"
"3.2890368","3.2890368","1 Year","DZH318Z0D1L7/00WH","Standard_E64_v4","Virtual Machines Ev4 Series","E64 v4"
"0.086848","0.086848","3 Years","DZH318Z092SD/00BK","Standard_D4ps_v5","Virtual Machines Dpsv5 Series","Standard_D4ps_v5"
"0.1309712","0.1309712","1 Year","DZH318Z092SD/00BK","Standard_D4ps_v5","Virtual Machines Dpsv5 Series","Standard_D4ps_v5"
"0.126224","0.126224","3 Years","DZH318Z0CSHJ/006X","Standard_D4s_v4","Virtual Machines Dsv4 Series","D4s v4"
"0.175812","0.175812","1 Year","DZH318Z0CSHJ/006X","Standard_D4s_v4","Virtual Machines Dsv4 Series","D4s v4"
"0.2599164","0.2599164","3 Years","DZH318Z093WZ/012J","Standard_E8-4as_v5","Virtual Machines Easv5 Series","E8-4as v5"
"0.3700096","0.3700096","1 Year","DZH318Z093WZ/012J","Standard_E8-4as_v5","Virtual Machines Easv5 Series","E8-4as v5"
"0.1886216","0.1886216","3 Years","DZH318Z09B68/004X","Standard_EC4as_v5","ECasv5-series Linux","Standard_EC4as_v5"
"0.2311738","0.2311738","1 Year","DZH318Z09B68/004X","Standard_EC4as_v5","ECasv5-series Linux","Standard_EC4as_v5"
"4.3496108","4.3496108","3 Years","DZH318Z09V9F/000B","Edsv5_Type1","Edsv5 Series DedicatedHost","Edsv5 Type1"
"6.25679","6.25679","1 Year","DZH318Z09V9F/000B","Edsv5_Type1","Edsv5 Series DedicatedHost","Edsv5 Type1"
"0.18236","0.18236","3 Years","DZH318Z08M9L/00JG","Standard_D8ls_v5","Virtual Machines Dlsv5 Series","D8ls v5"
"0.27548","0.27548","1 Year","DZH318Z08M9L/00JG","Standard_D8ls_v5","Virtual Machines Dlsv5 Series","D8ls v5"
"0.6848784","0.6848784","3 Years","DZH318Z09LQP/005N","Standard_E16bds_v5","Virtual Machines Ebdsv5 Series","Standard_E16bds_v5"
"1.087336","1.087336","1 Year","DZH318Z09LQP/005N","Standard_E16bds_v5","Virtual Machines Ebdsv5 Series","Standard_E16bds_v5"
"0.129865","0.129865","3 Years","DZH318Z0BQ4C/01TX","Standard_DS11-1_v2","Virtual Machines DSv2 Series","DS11-1 v2"
"0.164559","0.164559","1 Year","DZH318Z0BQ4C/01TX","Standard_DS11-1_v2","Virtual Machines DSv2 Series","DS11-1 v2"
"0.129865","0.129865","3 Years","DZH318Z0BQ4C/013S","Standard_DS11_v2","Virtual Machines DSv2 Series","DS11 v2"
"0.164559","0.164559","1 Year","DZH318Z0BQ4C/013S","Standard_DS11_v2","Virtual Machines DSv2 Series","DS11 v2"
"0.129865","0.129865","3 Years","DZH318Z0BQ34/00WF","Standard_D11_v2","Virtual Machines Dv2 Series","D11 v2"
"0.164559","0.164559","1 Year","DZH318Z0BQ34/00WF","Standard_D11_v2","Virtual Machines Dv2 Series","D11 v2"
"0.5198328","0.5198328","3 Years","DZH318Z093WZ/0138","Standard_E16as_v5","Virtual Machines Easv5 Series","E16as v5"
"0.7400192","0.7400192","1 Year","DZH318Z093WZ/0138","Standard_E16as_v5","Virtual Machines Easv5 Series","E16as v5"
"2.3026176","2.3026176","3 Years","DZH318Z0CM2D/0006","Standard_E64as_v4","Virtual Machines Easv4 Series","E64as v4"
"3.2890368","3.2890368","1 Year","DZH318Z0CM2D/0006","Standard_E64as_v4","Virtual Machines Easv4 Series","E64as v4"
"2.3026176","2.3026176","3 Years","DZH318Z0CM29/001Z","Standard_E64a_v4","Virtual Machines Eav4 Series","E64a v4"
"3.2890368","3.2890368","1 Year","DZH318Z0CM29/001Z","Standard_E64a_v4","Virtual Machines Eav4 Series","E64a v4"
"0","0","3 Years","DZH318Z0K7B2/016P","Standard_M176s_3_v3","Virtual Machines Msv3 Medium Memory Series Linux","Standard_M176s_3_v3"
"0","0","1 Year","DZH318Z0K7B2/016P","Standard_M176s_3_v3","Virtual Machines Msv3 Medium Memory Series Linux","Standard_M176s_3_v3"
"3.013551","3.013551","3 Years","DZH318Z0JH5G/000J","Ebdsv5-Type1","Ebdsv5 Series Dedicated Host","Ebdsv5-Type1"
"4.784415","4.784415","1 Year","DZH318Z0JH5G/000J","Ebdsv5-Type1","Ebdsv5 Series Dedicated Host","Ebdsv5-Type1"
"1.6377","1.6377","3 Years","DZH318Z08W2R/001K","Standard_D48ads_v5","Virtual Machines Dadsv5 Series","Standard_D48ads_v5"
"2.2869","2.2869","1 Year","DZH318Z08W2R/001K","Standard_D48ads_v5","Virtual Machines Dadsv5 Series","Standard_D48ads_v5"
"0.719568","0.719568","3 Years","DZH318Z08M9J/00JT","Standard_E20_v5","Virtual Machines Ev5 Series","Standard_E20_v5"
"1.027824","1.027824","1 Year","DZH318Z08M9J/00JT","Standard_E20_v5","Virtual Machines Ev5 Series","Standard_E20_v5"
"2.3026176","2.3026176","3 Years","DZH318Z0CSHL/003J","Standard_E64-16s_v4","Virtual Machines Esv4 Series","E64-16s v4"
"3.2890368","3.2890368","1 Year","DZH318Z0CSHL/003J","Standard_E64-16s_v4","Virtual Machines Esv4 Series","E64-16s v4"
"2.4172736","2.4172736","3 Years","DZH318Z093X0/014L","Standard_E64-16ads_v5","Virtual Machines Eadsv5 Series","E64-16ads v5"
"3.45072","3.45072","1 Year","DZH318Z093X0/014L","Standard_E64-16ads_v5","Virtual Machines Eadsv5 Series","E64-16ads v5"
"14.3819397","14.3819397","3 Years","DZH318Z08VHS/004F","Mdsmv2MedMem _Type1","MdSv2 Series Dedicated Host","Mdsmv2MedMem Type1"
"28.3569597","28.3569597","1 Year","DZH318Z08VHS/004F","Mdsmv2MedMem _Type1","MdSv2 Series Dedicated Host","Mdsmv2MedMem Type1"
"0.5756544","0.5756544","3 Years","DZH318Z0CSHL/008F","Standard_E16-8s_v4","Virtual Machines Esv4 Series","E16-8s v4"
"0.8222592","0.8222592","1 Year","DZH318Z0CSHL/008F","Standard_E16-8s_v4","Virtual Machines Esv4 Series","E16-8s v4"
"0.882167","0.882167","3 Years","DZH318Z0BCGZ/0039","Standard_NC8ads_A10_v4","Virtual Machines NCadsA10v4 Series","Standard_NC8ads_A10_v4"
"1.190332","1.190332","1 Year","DZH318Z0BCGZ/0039","Standard_NC8ads_A10_v4","Virtual Machines NCadsA10v4 Series","Standard_NC8ads_A10_v4"
"0.8420685","0.8420685","3 Years","DZH318Z0BQ4T/002F","Standard_NV6","Virtual Machines NV Series","NV6"
"1.136226","1.136226","1 Year","DZH318Z0BQ4T/002F","Standard_NV6","Virtual Machines NV Series","NV6"
"0.2626416","0.2626416","3 Years","DZH318Z092SH/00CR","Standard_E8pds_v5","Virtual Machines Epdsv5 Series","Standard_E8pds_v5"
"0.3762984","0.3762984","1 Year","DZH318Z092SH/00CR","Standard_E8pds_v5","Virtual Machines Epdsv5 Series","Standard_E8pds_v5"
"20.8176504","20.8176504","3 Years","DZH318Z0BX5L/01DQ","Standard_M416is_v2","Virtual Machines MSv2 Series","M416is v2"
"41.0462904","41.0462904","1 Year","DZH318Z0BX5L/01DQ","Standard_M416is_v2","Virtual Machines MSv2 Series","M416is v2"
"1.304376","1.304376","3 Years","DZH318Z08NR0/002G","Standard_DC16s_v3","DCsv3 Series Linux","standard_DC16s_v3"
"1.628584","1.628584","1 Year","DZH318Z08NR0/002G","Standard_DC16s_v3","DCsv3 Series Linux","standard_DC16s_v3"
"2.272176","2.272176","3 Years","DZH318Z08NR9/0067","Standard_L48as_v3","Lasv3 Series Linux","Standard_L48as_v3"
"3.245328","3.245328","1 Year","DZH318Z08NR9/0067","Standard_L48as_v3","Lasv3 Series Linux","Standard_L48as_v3"
"1.1513088","1.1513088","3 Years","DZH318Z0CSHL/007H","Standard_E32s_v4","Virtual Machines Esv4 Series","E32s v4"
"1.6445184","1.6445184","1 Year","DZH318Z0CSHL/007H","Standard_E32s_v4","Virtual Machines Esv4 Series","E32s v4"
"0.0064032","0.0064032","3 Years","DZH318Z0BQ35/00TD","Standard_B1s","Virtual Machines BS Series","B1s"
"0.0092928","0.0092928","1 Year","DZH318Z0BQ35/00TD","Standard_B1s","Virtual Machines BS Series","B1s"
"2.6362432","2.6362432","3 Years","DZH318Z0D1L5/018W","Standard_E64d_v4","Virtual Machines Edv4 Series","E64d v4"
"3.79216","3.79216","1 Year","DZH318Z0D1L5/018W","Standard_E64d_v4","Virtual Machines Edv4 Series","E64d v4"
"0.0961112","0.0961112","3 Years","DZH318Z08NRF/003Q","Standard_DC1ds_v3","DCdsv3 Series Linux","standard_DC1ds_v3"
"0.1202648","0.1202648","1 Year","DZH318Z08NRF/003Q","Standard_DC1ds_v3","DCdsv3 Series Linux","standard_DC1ds_v3"
"4.165656","4.165656","3 Years","DZH318Z0BQM3/00KR","Standard_L88is_v2","Virtual Machines LSv2 Series","L88is v2"
"5.949768","5.949768","1 Year","DZH318Z0BQM3/00KR","Standard_L88is_v2","Virtual Machines LSv2 Series","L88is v2"
"0.252448","0.252448","3 Years","DZH318Z08M9X/00NW","Standard_D8_v5","Virtual Machines Dv5 Series","Standard_D8_v5"
"0.351624","0.351624","1 Year","DZH318Z08M9X/00NW","Standard_D8_v5","Virtual Machines Dv5 Series","Standard_D8_v5"
"0.066402","0.066402","3 Years","DZH318Z0BPRJ/0045","Standard_A2m_v2","Virtual Machines Av2 Series","A2m v2"
"0.0927148","0.0927148","1 Year","DZH318Z0BPRJ/0045","Standard_A2m_v2","Virtual Machines Av2 Series","A2m v2"
"0.2877664","0.2877664","3 Years","DZH318Z0CM2D/0237","Standard_E8-2as_v4","Virtual Machines Easv4 Series","E8-2as_v4"
"0.4111296","0.4111296","1 Year","DZH318Z0CM2D/0237","Standard_E8-2as_v4","Virtual Machines Easv4 Series","E8-2as_v4"
"0.0256128","0.0256128","3 Years","DZH318Z0BQ35/00KL","Standard_B2s","Virtual Machines BS Series","B2s"
"0.0371712","0.0371712","1 Year","DZH318Z0BQ35/00KL","Standard_B2s","Virtual Machines BS Series","B2s"
