"skuId","retailPrice","productName","armSkuName","skuName"
"DZH318Z0BDCH/007R","1.58","Virtual Machines ECadsccv5 Series","Standard_EC20ads_cc_v5","Standard_EC20ads_cc_v5"
"DZH318Z0BDL7/006J","0.3472","Virtual Machines DCadsccv5 Series Windows","Standard_DC8ads_cc_v5","Standard_DC8ads_cc_v5 Spot"
"DZH318Z0BPSQ/004S","1.087","Virtual Machines DSv2 promo Series","Standard_DS5_v2_Promo","DS5 v2"
"DZH318Z0BPSP/00HG","1.087","Virtual Machines Dv2 promo Series","Standard_D5_v2_Promo","D5 v2"
"DZH318Z0BDL9/000Z","0.5","Virtual Machines DCadsccv5 Series","Standard_DC8ads_cc_v5","Standard_DC8ads_cc_v5"
"DZH318Z092S1/006P","0.017","Virtual Machines Dplsv5 Series Windows","Standard_D2pls_v5","Standard_D2pls_v5 Spot"
"DZH318Z0BDL4/001J","0.627","Virtual Machines DCasccv5 Series Windows","Standard_DC16as_cc_v5","Standard_DC16as_cc_v5 Low Priority"
"DZH318Z09B62/005H","0.148","ECadsv5-series Linux","Standard_EC2ads_v5","Standard_EC2ads_v5"
"DZH318Z0BQ4K/00LB","0.48","Virtual Machines Dv3 Series","Standard_D8_v3","D8 v3"
"DZH318Z0BQ50/00SR","0.48","Virtual Machines DSv3 Series","Standard_D8s_v3","D8s v3"
"DZH318Z0C0XC/0003","1.978","Virtual Machines NVSv3 Series Windows","Standard_NV12s_v3","NV12s v3"
"DZH318Z0BQ4X/01TX","0.009729","Virtual Machines FSv2 Series","Standard_F2s_v2","F2s v2 Spot"
"DZH318Z096SN/01MS","2.768","Virtual Machines Edsv5 Series","Standard_E32ds_v5","E32ds v5"
"DZH318Z096SN/01MN","2.768","Virtual Machines Edsv5 Series","Standard_E32-8ds_v5","E32-8ds v5"
"DZH318Z096SN/01MK","2.768","Virtual Machines Edsv5 Series","Standard_E32-16ds_v5","E32-16ds v5"
"DZH318Z093X0/0161","0.7584","Virtual Machines Eadsv5 Series","Standard_E96ads_v5","E96ads v5 Spot"
"DZH318Z0K803/003C","0.7296","Virtual Machines DCedsv5 Series Windows","Standard_DC16eds_v5","DC16edsv5 Spot"
"DZH318Z0BPWJ/010D","0.018518","Virtual Machines FSv2 Series Windows","Standard_F2s_v2","F2s v2 Spot"
"DZH318Z0BQ4W/04HX","0.86044","Virtual Machines MS Series","Standard_M32-16ms","M32-16ms Spot"
"DZH318Z092S9/008F","0.0973","Virtual Machines Epsv5 Series","Standard_E8ps_v5","Standard_E8ps_v5 Low Priority"
"DZH318Z0BX5L/036Q","4.371","Virtual Machines MSv2 Series","Standard_M192is_v2","M192is_v2 Low Priority"
"DZH318Z0BQ4S/00DF","0.442","Virtual Machines DS Series","Standard_DS12","DS12"
"DZH318Z0BQ4B/009Z","0.442","Virtual Machines D Series","Standard_D12","D12"
"DZH318Z08NQZ/002D","0.801394","DCsv3 Series Windows","Standard_DC24s_v3","standard_DC24s_v3 Spot"
"DZH318Z0CSHC/009T","0.781","Virtual Machines Esv4 Series Windows","Standard_E16-8s_v4","E16-8s v4 Low Priority"
"DZH318Z0BPSQ/0076","0.759","Virtual Machines DSv2 promo Series","Standard_DS13_v2_Promo","DS13 v2"
"DZH318Z0BPSP/008H","0.759","Virtual Machines Dv2 promo Series","Standard_D13_v2_Promo","D13 v2"
